"","Acb","Act","At","Ba","Bg","Bl","Cw","Dr","Ep","Fd","Hm","Hw","Lw","Mb","Pa","Pl","Pw","Py","Sb","Ss","Sx","Yc"
"Acb",1,-0.0966353241008988,0.110408877418637,-0.0454313198302017,-0.0403553450716587,-0.0861926936792783,-0.106970494693251,-0.0615426173590951,0.176451062240633,-0.125464599488481,-0.0450247735179826,-0.0962769660168884,-0.0682610050768392,-0.0495539330387518,-0.043167659636485,-0.0231735316415878,-0.0491734181612798,-0.0623472651291562,0.303006401673776,-0.049161674334963,0.072813459822714,-0.0437895162350525
"Act",-0.0966353241008988,1,0.326036213691017,0.0392516515415404,0.106966681990334,0.102776701897207,0.352731315987766,0.285565867862982,0.497547856279171,0.0750771030890369,-0.118226885976329,0.230325751447496,0.0864389201056605,0.35928956090813,-0.145117818388005,0.032146673578381,0.18971527680474,-0.114364546536313,-0.142199878667651,0.0773502975139181,0.0264210898512183,-0.0873449803349441
"At",0.110408877418637,0.326036213691017,1,-0.15738856690631,-0.0315185291658938,0.193289198731903,0.0307913474910273,-0.251885856041254,0.497359868443719,0.201896223360671,-0.17406893574642,-0.0253509575634785,0.241446339235353,-0.202817744504529,-0.145381500402687,0.211262190438864,0.155672314312085,0.0715972110451949,0.0526886145245885,-0.201212281109677,0.269778166045504,-0.179224743044968
"Ba",-0.0454313198302017,0.0392516515415404,-0.15738856690631,1,-0.0568493266057161,-0.0749803236269102,0.206294975464676,0.230176016726842,-0.039281222496166,-0.0891416627658609,0.374876485080588,0.330850215555901,-0.109043199930929,0.121067870509048,-0.0702166652464824,-0.137422052108872,-0.0571822658665014,-0.124666727430213,-0.10308389342746,0.309546576125954,-0.0947599087216759,0.359505924476594
"Bg",-0.0403553450716587,0.106966681990334,-0.0315185291658938,-0.0568493266057161,1,-0.0963577597592368,0.198985562240109,0.147207930706703,0.118984957284118,0.167200196520324,-0.063209001763699,0.137733384498044,0.113466229789906,0.261749000616435,-0.0606018522893304,-0.0810586571714369,0.197188183704842,0.0488008565571164,-0.0772718411862409,-0.0238215105444177,-0.0520852316748473,-0.0510048128752394
"Bl",-0.0861926936792783,0.102776701897207,0.193289198731903,-0.0749803236269102,-0.0963577597592368,1,-0.0666532245129526,-0.313256135441232,0.0760336201223522,-0.000568128786873973,-0.0743285429535921,-0.0352843382526738,0.142680582122538,-0.253312115289981,0.271945280699854,0.364205301920922,0.102850595121278,-0.244569257739455,-0.166907554358342,-0.241176785521389,0.536525620987164,-0.205096865431275
"Cw",-0.106970494693251,0.352731315987766,0.0307913474910273,0.206294975464676,0.198985562240109,-0.0666532245129526,1,0.448502488848296,0.305673357603298,0.0845581858555098,0.0665442245481379,0.649819513656733,0.177325394396896,0.339195857173349,-0.154507968889688,-0.0390064783697068,0.329206150481571,-0.0365373448603619,-0.204825582902908,0.386865560874276,-0.13489310093158,0.253140225006316
"Dr",-0.0615426173590951,0.285565867862982,-0.251885856041254,0.230176016726842,0.147207930706703,-0.313256135441232,0.448502488848296,1,0.104870061827388,-0.0991960559877962,-0.0140932579951664,0.36552767462541,-0.113283891159954,0.662122287156485,-0.0924189001499566,-0.221503712128806,0.0209650542399507,-0.121748401919086,-0.117840929034636,0.585756023721081,-0.308492162757906,0.233229085882506
"Ep",0.176451062240633,0.497547856279171,0.497359868443719,-0.039281222496166,0.118984957284118,0.0760336201223522,0.305673357603298,0.104870061827388,1,0.147967217526624,-0.12086555385067,0.17624433246123,0.207989962505679,0.224145749181454,-0.146630086780444,0.0810468803003264,0.276121483082889,0.0511470068408072,-0.00169166029843598,-0.0211982985424311,0.1264763005176,-0.126983315734008
"Fd",-0.125464599488481,0.0750771030890369,0.201896223360671,-0.0891416627658609,0.167200196520324,-0.000568128786873973,0.0845581858555098,-0.0991960559877962,0.147967217526624,1,-0.125135994249081,0.0141429272540696,0.418179002000988,0.059160222753434,-0.0250343942124779,-0.00728572779270119,0.195235613463356,0.342556711570873,-0.25826638382019,-0.162775643958132,-0.0963350136910763,-0.142225085385188
